STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/10/2016,0,0,0,38,30
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/11/2016,0,0,0,38,28
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/12/2016,0.56,0,0,35,29
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/13/2016,0,0,0,51,34
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/14/2016,0,0,0,45,36
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/15/2016,0.02,0.3,0,44,23
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/16/2016,0,0,0,37,18
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/17/2016,0.55,0.4,0,31,15
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/18/2016,0.66,0,0,40,25
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/19/2016,0,0,0,60,35
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/20/2016,0,0,0,35,25
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/21/2016,0,0,0,36,21
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/22/2016,0,0,0,45,29
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/23/2016,0,0,0,53,36
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/24/2016,0.37,0,0,47,35
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/25/2016,0,0,0,47,38
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/26/2016,0,0,0,50,37
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/27/2016,0.05,0,0,56,36
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/28/2016,0,0,0,64,48
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/29/2016,0,0,0,48,36
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/30/2016,0.41,0,0,45,34
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",12/31/2016,0,0,0,42,34
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",1/1/2017,0,0,0,45,31
